input_table	_c1	dev_owner	owner_src	life_cycle	table_comment
amap_unifycompile_process.nds_routing_link_attr	201598,247234172,autonavi_navi.dwd_gd_trvl_circle_bad_action_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_parallel_cross_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info	090828	090828	7	
autonavi_incubation.source_truck_trace_classification	194251,225956898,gismonitor.yaw_user_match_dd,	300150	300150	93	货车轨迹分类来源， predict_result 只为1；新增source=4，来自检查站规则匹配
autonavi_incubation.trace_all_navi	300150,185237160,gismonitor.yaw_user_match_dd,autonavi_incubation.source_truck_trace_classification	300150	300150	93	轨迹navi拆分表，一个轨迹可能多个navi
autonavi_incubation.trace_classification_v2	300150,185237160,gismonitor.yaw_user_match_dd,autonavi_incubation.source_truck_trace_classification	300150	300150	90	轨迹分类最终结果表;
  1表示货车, 2表示汽车, 0表示其他;
   predict_score字段若两个分数, 则1为策略预测, 另一个分数为模型预测
autonavi_navi.cml_offline_personal_od_cnt_target_drv_di	143537,201892771,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_navi_feature_1d;143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,;143537,201892771,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_navi_feature_1d	201598	201598	367	
autonavi_navi.cml_offline_personal_od_freqinfo_6months_idmapping	201598,199440578,gd_cdm.dwd_gd_trvl_opposite_strategy_di,autonavi_navi.cml_offline_personal_od_cnt_target_drv_di	306819	306819	93	
autonavi_navi.dwd_gd_trvl_car_dynamic_high_penalty_batch_list_drv_di	165637,203891548,gd_cdm.dwd_gd_trvl_route_detour_di,autonavi_navi.dwd_gd_trvl_car_dynamic_high_penalty_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di	165637	165637	30	
autonavi_navi.dwd_gd_trvl_car_dynamic_high_penalty_drv_di	369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;143537,231508056,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,autonavi_navi.dwd_gd_trvl_nopenalty_route_drv_di	165637	165637	400	
autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di	106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;143537,264024680,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_navi.tmp_dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di	143537	143537	400	在业务规则下，路线上的高位惩罚信息
